Entry,Completed,Quarter,Class,Type,Tasks_Predicted,Units,Title,Min_Estimated,Min_Real,InvalidatingFailure,ImpreciseTimes
1,8/7/2019,Summer 2019,SOC218,Reading,14,Pages,Communist Manifesto,49,85,,
2,8/7/2019,Summer 2019,COMS101,Reading,10,Pages,Sylabus,10,15,,
3,8/12/2019,Summer 2019,COMS101,Questionaire,7,Questions,Basic info,3,2,,
4,8/16/2019,Summer 2019,SOC218,Reading,3,Pages,Wealth of nations,18,10,,
5,8/13/2019,Summer 2019,COMS101,Reading,31,Pages,Textbook ch1,130,40,,
6,8/16/2019,Summer 2019,COMS101,Reading,28,Pages,Textbook ch2,40,38,,
7,8/16/2019,Summer 2019,COMS101,Reading,23,Pages,Textbook ch3,31,33,,
8,8/19/2019,Summer 2019,General,Advising,1,Session,Informal Advising w/ LA,15,13,,
9,8/19/2019,Summer 2019,COMS101,Reading,20,Pages,Textbook ch10,28,29,,
10,8/20/2019,Summer 2019,COMS101,Reading w/ Guide,39,Pages,Textbook ch5,22,14,,
11,8/20/2019,Summer 2019,COMS101,Reading w/ Guide,24,Pages,Textbook ch6,17,20,,
12,8/19/2019,Summer 2019,SOC218,Misc,1,Questionaire,Political Compass,12,10,,
13,8/19/2019,Summer 2019,COMS101,Questionaire,1,Questionaire,Audience survey,4,1,1,
14,8/20/2019,Summer 2019,SOC218,Reading,20,Pages,Oatley Ch1 IPE,70,55,,
15,8/21/2019,Summer 2019,SOC218,Reading,16,Pages,Che Guevara UNCTAD,64,53,,
16,8/21/2019,Summer 2019,COMS101,Speech Prep,4,Minutes,Introduction speech (3 objects),50,112,,
17,8/21/2019,Summer 2019,COMS101,Misc,6,Pages,Library Questionare,12,36,,
18,8/23/2019,Summer 2019,COMS101,Reading w/ Guide,27,Pages,Chapter 11,30,34,,
19,8/23/2019,Summer 2019,COMS101,Reading w/ Guide,28,Pages,Chapter 12,25,26,,
20,8/23/2019,Summer 2019,COMS101,Reading w/ Guide,30,Pages,Chapter 13,25,21,,
21,8/25/2019,Summer 2019,SOC218,Research,1,Topic,Botswana relationship to major powers,25,23,,
22,8/25/2019,Summer 2019,COMS101,Research,2,Sources,Sources for Imagery Speech,45,51,,
23,8/25/2019,Summer 2019,SOC218,Reading,7,Pages,Said Orientalism,15,34,,
24,8/25/2019,Summer 2019,SOC218,Reading,8,Pages,Think Again: War,20,16,,
25,8/26/2019,Summer 2019,SOC218,Class,1,Session,,230,225,,1
26,8/26/2019,Summer 2019,COMS101,Class,1,Session,,230,140,,
27,8/19/2019,Summer 2019,SOC218,Class,1,Session,,230,225,,1
28,8/19/2019,Summer 2019,COMS101,Class,1,Session,,230,230,,1
29,8/20/2019,Summer 2019,SOC218,Class,1,Session,,230,225,,1
30,8/20/2019,Summer 2019,COMS101,Class,1,Session,,230,230,,1
31,8/22/2019,Summer 2019,SOC218,Class,1,Session,,230,225,,1
32,8/22/2019,Summer 2019,COMS101,Class,1,Session,,230,230,,1
33,8/29/2019,Summer 2019,COMS101,Speech Prep,5,Minutes,Visualization Speech - Memory deletion,250,438,,
34,8/26/2019,Summer 2019,SOC218,Assisted reading,23,Pages,Read outline classmates made of McMichael Ch. 1,45,33,,
35,8/27/2019,Summer 2019,SOC218,Class,1,Field Trip,,174,189,,
36,8/27/2019,Summer 2019,COMS101,Class,1,Session,,150,48,,
37,8/29/2019,Summer 2019,SOC218,Writing,4,Pages,Day In The Life of Botswana,120,183,,
38,8/28/2019,Summer 2019,SOC218,Assisted reading,24,Pages,"Assisted in creating outline of Stenger Econ Globalization, read outline with class",60,41,,
39,8/28/2019,Summer 2019,SOC218,Assisted reading,6,Pages,Green REvolution,80,68,,
40,8/29/2019,Summer 2019,SOC218,Class,1,Session,,230,230,,
41,8/29/2019,Summer 2019,COMS101,Class,1,Session,,220,194,,
42,8/30/2019,Summer 2019,COMS101,Reading w/ Guide,48,Pages,Chapter 16,34,31,,
43,8/30/2019,Summer 2019,COMS101,Reading w/ Guide,56,Pages,Chapter 17,62,42,,
44,8/30/2019,Summer 2019,COMS101,Reading w/ Guide,65,Pages,Chapter 18,65,32,,
45,9/4/2019,Summer 2019,COMS101,Speech Prep,6,Minutes,Informative Speech,600,547,,
46,9/1/2019,Summer 2019,SOC218,Writing,4,Paragraphs,Food Miles,90,67,,
47,9/1/2019,Summer 2019,SOC218,Online Activity,1,Online Activity,Slaves,25,22,,
48,9/1/2019,Summer 2019,SOC218,Online Activity,1,Online Activity,Ecological Footprint,25,18,,
49,9/6/2019,Summer 2019,SOC218,Reading,12,Pages,Economy for the 99 percent,34,39,,
50,9/3/2019,Summer 2019,SOC218,Class,1,Session,,230,228,,
51,9/3/2019,Summer 2019,COMS101,Class,1,Session,Editing day - editing time not included,120,80,,
52,9/5/2019,Summer 2019,SOC218,Field Trip,1,Session,Scavenger hunt & streetcorner activity downtown,180,165,,
53,9/5/2019,Summer 2019,COMS101,Class,1,Session,,230,213,,
54,9/10/2019,Summer 2019,COMS101,Speech Prep,7,Minutes,,500,568,,
55,9/6/2019,Summer 2019,SOC218,Reading,6,Pages,Income Inequality,24,10,,
56,9/13/2019,Summer 2019,SOC218,Writing,8,Pages,,400,497,,
57,9/7/2019,Summer 2019,General,Online Activity,1,Lesson,Not Anymore Online Training,140,167,,
58,9/8/2019,Summer 2019,General,Online Activity,1,Lesson,Alcohol/drug Training,150,61,,
59,9/13/2019,Summer 2019,General,Online Activity,1,Lesson,Diversity Training,60,80,,
60,9/8/2019,Summer 2019,COMS101,Writing,16,Sentences,Peer Review,32,35,,
61,9/9/2019,Summer 2019,SOC218,Writing ,1,Pages,Scavenger Hunt/Street Corner,20,35,,
62,9/9/2019,Summer 2019,SOC218,Misc,2,Misc,Turning in late assignments,10,20,,
63,9/9/2019,Summer 2019,SOC218,Class,1,Session,,230,236,,
64,9/9/2019,Summer 2019,COMS101,Class,1,Session,Abnormal; est = 230-worktime,164,100,,
65,9/10/2019,Summer 2019,SOC218,Class,1,Session,,230,224,,
66,9/10/2019,Summer 2019,COMS101,Class,1,Session,,230,237,,
67,9/11/2019,Summer 2019,COMS101,Study,1,Session,,30,28,,
68,9/11/2019,Summer 2019,COMS101,Writing,2.5,Pages,Self Evaluation,60,57,,
69,9/12/2019,Summer 2019,SOC218,Study,1,Course,,120,135,,
70,9/11/2019,Summer 2019,COMS101,Study,1,Session,,30,7,,
71,9/12/2019,Summer 2019,COMS101,Class,1,Session,Final Exam,60,45,,
72,9/13/2019,Summer 2019,SOC218,Class,1,Session,Final Exam,60,66,,
73,9/18/2019,Fall 2019,MATH143,Reading,1,Sylabus,,10,6,,
74,9/18/2019,Summer 2019,General,Survey,1,Survey,Quarter Plus Survey,15,12,,
75,9/19/2019,Fall 2019,MATH143,Class,1,Session,,60,59,,
76,9/19/2019,Fall 2019,TH210,Class,1,Session,,110,89,,
77,9/19/2019,Fall 2019,ENGL134,Class,1,Session,,55,54,,
78,9/24/2019,Fall 2019,TH210,Reading,1,Pages,How to Read a Play,4,3,,
79,10/2/2019,Fall 2019,ENGL134,Purchase,1,Books,MLA 8 guide for writers of research papers (published by MLA),20,5,1,
80,9/20/2019,Fall 2019,General,PolyPlanner,3,Quarters,Until Compliant,80,27,,
81,9/20/2019,Fall 2019,ENGL134,Printing,1,Pages,Statement of writing subject for quarter,4,4,,
82,9/22/2019,Fall 2019,MATH143,Textbook Questions,6,Problems,10.1 1-11(odd),80,30,,
83,9/23/2019,Fall 2019,MATH143,Textbook Questions,17,Problems,10.1 27-61 (odd),90,75,,
84,9/24/2019,Fall 2019,MATH143,Textbook Questions,5,Problems,10.2 7-17 (odd),25,21,,
85,9/25/2019,Fall 2019,ENGL134,Reading,12,Pages,Bird by Bird (intro - shitty first drafts),40,60,,
86,9/23/2019,Fall 2019,STAT150,Scavenger Hunt,9,Questions,Using Cal Poly Resources,36,27,,
87,9/23/2019,Fall 2019,STAT150,Scavenger Hunt,5,Items,Real life scavenging,50,0,1,
88,9/23/2019,Fall 2019,MATH143,Class,1,Session,,55,52,,
89,9/23/2019,Fall 2019,STAT150,Class,1,Session,,55,59,,
90,9/23/2019,Fall 2019,ENGL134,Class,1,Session,,55,58,,
91,9/24/2019,Fall 2019,MATH143,Class,1,Session,Forgot to attend,55,0,,
92,9/24/2019,Fall 2019,TH210,Class,1,Session,,95,85,,
93,9/25/2019,Fall 2019,TH210,Blog,1,Thought,,40,85,,
94,9/24/2019,Fall 2019,TH210,Reading,12,Pages,Casting Without Limits,25,18,,
95,9/26/2019,Fall 2019,TH210,Blog,2,Comments,,14,22,,
96,9/26/2019,Fall 2019,ENGL134,Reading,15,Pages,Bird by Bird (part 1- shitty first drafts),50,48,,
97,9/27/2019,Fall 2019,STAT150,Labs,1,Lab Section,Lab 1 Part 1,30,34,,
98,9/25/2019,Fall 2019,STAT150,Class,1,Session,,55,50,,
99,9/25/2019,Fall 2019,ENGL134,Class,1,Session,Teacher could not come,55,0,,
100,9/26/2019,Fall 2019,MATH143,Class,1,Session,,55,62,,
101,9/26/2019,Fall 2019,TH210,Class,1,Session,,100,99,,
102,9/26/2019,Fall 2019,ENGL134,Class,1,Session,,55,55,,
103,9/27/2019,Fall 2019,MATH143,Class,1,Session,,55,62,,
104,9/27/2019,Fall 2019,ENGL134,Class,1,Session,,55,54,,
105,9/27/2019,Fall 2019,STAT150,Labs,1,Lab Section,,30,38,,
106,9/29/2019,Fall 2019,ENGL134,Writing,4,Narritives,Memoir Stage 1,110,131,,
107,10/7/2019,Fall 2019,ENGL134,Drafting,4,Pages,First Draft,180,210,,
108,9/30/2019,Fall 2019,MATH143,Study,1,Example,,10,8,,
109,10/6/2019,Fall 2019,STAT150,Project,1,Class Activity,?,140,218,,
110,10/1/2019,Fall 2019,TH210,Reading,59,Pages,,80,55,,
111,10/2/2019,Fall 2019,TH210,Reading,57,Pages,,55,49,,
112,10/3/2019,Fall 2019,STAT150,Labs,0.4,Labs,,30,124,,
113,10/2/2019,Fall 2019,ENGL134,Reading,4,Pages,,12,9,,
114,9/30/2019,Fall 2019,MATH143,Class,1,Session,Week of Classes - Standard,55,60,,
115,9/30/2019,Fall 2019,STAT150,Class,1,Session,,55,56,,1
116,9/30/2019,Fall 2019,ENGL134,Class,1,Session,,55,55,,1
117,10/1/2019,Fall 2019,MATH143,Class,1,Session,,55,52,,
118,10/1/2019,Fall 2019,TH210,Class,1,Session,,110,118,,
119,10/2/2019,Fall 2019,STAT150,Class,1,Session,,55,56,,
120,10/2/2019,Fall 2019,ENGL134,Class,1,Session,,55,58,,
121,10/3/2019,Fall 2019,MATH143,Class,1,Session,,55,55,,
122,10/3/2019,Fall 2019,TH210,Class,1,Session,,110,111,,
123,10/3/2019,Fall 2019,ENGL134,Class,1,Session,,55,60,,
124,10/4/2019,Fall 2019,MATH143,Class,1,Session,,55,54,,
125,10/4/2019,Fall 2019,ENGL134,Class,1,Session,Atypical Day - out of class assignment,55,48,,
126,10/3/2019,Fall 2019,TH210,Quiz,1,Quiz,Take Home Quiz ,12,5,,
127,10/13/2019,Fall 2019,ENGL134,Editing,4,Pages,Memoir: fully editing shitty first draft to final product,200,332,,
128,10/7/2019,Fall 2019,MATH143,Class,1,Session,Monday,55,56,,
129,10/7/2019,Fall 2019,STAT150,Class,1,Session,Monday,55,43,,
130,10/7/2019,Fall 2019,ENGL134,Class,1,Session,Monday,55,51,,
131,10/8/2019,Fall 2019,MATH143,Class,1,Session,Tuesday,55,54,,
132,10/8/2019,Fall 2019,TH210,Class,1,Session,Tuesday,110,100,,
133,10/9/2019,Fall 2019,STAT150,Class,1,Session,Wednesday,55,50,,
134,10/9/2019,Fall 2019,ENGL134,Class,1,Session,Wednesday,55,50,,
135,10/10/2019,Fall 2019,MATH143,Class,1,Session,Thursday,55,52,,
136,10/10/2019,Fall 2019,TH210,Class,1,Session,Thursday,110,99,,
137,10/10/2019,Fall 2019,ENGL134,Class,1,Session,Thursday,55,49,,
138,10/11/2019,Fall 2019,MATH143,Class,1,Session,Friday,55,52,,
139,10/11/2019,Fall 2019,ENGL134,Class,1,Session,Friday,19,16,,
140,10/13/2019,Fall 2019,TH210,Blog,1,Thought,,50,37,,
141,10/13/2019,Fall 2019,TH210,Blog,2,Comments,,22,13,,
142,10/8/2019,Fall 2019,STAT150,Reading,16,Pages,How to lie with statistics,40,31,,
143,10/15/2019,Fall 2019,STAT150,Reading,10,Pages,How to lie with statistics  Chapter 2,22,27,,
144,10/10/2019,Fall 2019,MATH143,Textbook Questions,15,Questions,,90,110,,
145,10/9/2019,Fall 2019,ENGL134,Reading,2,Pages,Fresh Choices essay,8,6,,
146,10/21/2019,Fall 2019,ENGL134,Reading,3,Pages,book,9,10,,
147,10/10/2019,Fall 2019,MATH143,Textbook Questions,19,Questions,,120,111,,
148,10/10/2019,Fall 2019,MATH143,Textbook Questions,20,Questions,,120,71,,
149,10/13/2019,Fall 2019,STAT150,Labs,0.5,Labs,,50,82,,
150,10/10/2019,Fall 2019,TH210,Reading,11,Pages,Disgraced,25,108,,
151,10/10/2019,Fall 2019,TH210,Quiz,1,Quiz,Disgraced take home quiz,8,3,,
152,10/11/2019,Fall 2019,MATH143,Study Session,1,Session,,90,84,,
153,10/13/2019,Fall 2019,STAT150,Blog,1,Post,News Stats,35,46,,
154,10/14/2019,Fall 2019,MATH143,Class,1,Session,Monday,55,52,,
155,10/14/2019,Fall 2019,STAT150,Class,1,Session,Monday,55,29,,
156,10/14/2019,Fall 2019,ENGL134,Class,1,Session,Monday,55,3,,
157,10/15/2019,Fall 2019,MATH143,Class,1,Session,Tuesday,55,57,,
158,10/15/2019,Fall 2019,TH210,Class,1,Session,Tuesday,110,99,,
159,10/16/2019,Fall 2019,STAT150,Class,1,Session,Wednesday,55,51,,
160,10/16/2019,Fall 2019,ENGL134,Class,1,Session,Wednesday,55,56,,
161,10/17/2019,Fall 2019,MATH143,Class,1,Session,Thursday,55,54,,
162,10/17/2019,Fall 2019,TH210,Class,1,Session,Thursday,45,72,,
163,10/18/2019,Fall 2019,ENGL134,Class,1,Session,Thursday,55,51,,
164,10/18/2019,Fall 2019,MATH143,Class,1,Session,Friday,55,53,,
165,10/18/2019,Fall 2019,ENGL134,Class,1,Session,Friday,55,30,,
166,10/15/2019,Fall 2019,STAT150,Reading,15,Pages,How to lie with statistics  Chapter 3,32,23,,
167,10/15/2019,Fall 2019,STAT150,Reading,7,Pages,How to lie with statistics  Chapter 4,11,18,,
168,10/16/2019,Fall 2019,STAT150,Reading,5,Pages,How to lie with statistics  Chapter 5,11,9,,
169,10/24/2019,Fall 2019,STAT150,Reading,7,Pages,How to lie with statistics  Chapter 6,15,15,,
170,10/16/2019,Fall 2019,MATH143,Textbook Questions,15,Questinons,"• Section 10.8: 1-15 (odd), 16-18, 27, 29, 43, 45.",80,107,,
171,10/17/2019,Fall 2019,MATH143,Textbook Questions,16,Questinons,"• Section 10.9: 1-6, 9, 11-16, 35-37.",80,70,,
172,10/17/2019,Fall 2019,MATH143,Textbook Questions,10,Questinons,"• Section 10.10: 15, 16, 19, 20, 41-43, 45, 47, 48.",60,63,,
173,10/18/2019,Fall 2019,STAT150,Labs,1,Lab,,70,73,,
174,10/17/2019,Fall 2019,TH210,Purchase,1,Book,,12,23,,
175,10/17/2019,Fall 2019,TH210,Reading,92,Pages,Water By the Spoonful,120,125,,
176,10/17/2019,Fall 2019,TH210,Quiz,1,Quiz,,12,3,,
177,10/20/2019,Fall 2019,ENGL134,Writing,3,Poems,Haikus,70,36,,
178,10/20/2019,Fall 2019,STAT150,Blog,1,Posts,,40,64,,
179,10/20/2019,Fall 2019,STAT150,Help,1,Days,1 week of helping others with stats,20,22,,
180,10/25/2019,Fall 2019,ENGL134,Interview Prep,1,Interviews,All preparation for interview,180,145,,
181,10/22/2019,Fall 2019,MATH143,Textbook Questions,9,Questions,"Section 11.1: 1-15 (odd), 21.",49,44,,
182,10/24/2019,Fall 2019,MATH143,Textbook Questions,7,Questions,"Section 11.2: 1, 5, 9, 13, 23-27 (odd).",39,125,,
183,10/21/2019,Fall 2019,TH210,Study,1,Session,,30,18,,
184,10/21/2019,Fall 2019,MATH143,Class,1,Session,Monday,55,57,,
185,10/21/2019,Fall 2019,STAT150,Class,1,Session,Monday,55,50,,
186,10/21/2019,Fall 2019,ENGL134,Class,1,Session,Monday,55,56,,
187,10/22/2019,Fall 2019,MATH143,Class,1,Session,Tuesday,55,56,,
188,10/22/2019,Fall 2019,TH210,Class,1,Session,Tuesday,110,63,,
189,10/23/2019,Fall 2019,STAT150,Class,1,Session,Wednesday,55,50,,
190,10/23/2019,Fall 2019,ENGL134,Class,1,Session,Wednesday,55,53,,
191,10/24/2019,Fall 2019,MATH143,Class,1,Session,Thursday,55,55,,
192,10/24/2019,Fall 2019,TH210,Class,1,Session,Thursday,110,83,,
193,10/24/2019,Fall 2019,ENGL134,Class,1,Session,Thursday,55,52,,
194,10/25/2019,Fall 2019,MATH143,Class,1,Session,Friday,55,56,,
195,10/25/2019,Fall 2019,ENGL134,Class,1,Session,Friday,55,50,,
196,11/3/2019,Fall 2019,STAT150,Blog,1,Misc,"Ethics issue: reading 5 pages, writeup",100,94,,
197,10/24/2019,Fall 2019,STAT150,Reading,13,Pages,How to lie with statistics  Chapter 7,26,27,,
198,10/25/2019,Fall 2019,STAT150,Reading,13,Pages,How to lie with statistics  Chapter 8,26,23,,
199,11/11/2019,Fall 2019,STAT150,Reading,22,Pages,How to lie with statistics  Chapter 9,44,41,,
200,10/25/2019,Fall 2019,ENGL134,Interview,1,Interviews,My interview - all time at scene dedicated to doing it.,30,22,,
201,11/11/2019,Fall 2019,STAT150,Reading,20,Pages,How to lie with statistics  Chapter 10,40,32,,
202,10/28/2019,Fall 2019,STAT150,Labs,1,Labs,Lab 5,120,82,,
203,11/21/2019,Fall 2019,TH210,Speech Prep,1,Monologues,,300,80,,
204,10/29/2019,Fall 2019,STAT150,Study,1,Test,All study for midterm,100,199,,
205,10/28/2019,Fall 2019,MATH143,Class,1,Session,Monday,55,52,,
206,10/28/2019,Fall 2019,STAT150,Class,1,Session,Monday,55,48,,
207,10/28/2019,Fall 2019,ENGL134,Class,1,Session,Monday,55,55,,
208,10/29/2019,Fall 2019,MATH143,Class,1,Session,Tuesday,55,54,,
209,10/29/2019,Fall 2019,TH210,Class,1,Session,Tuesday,110,110,,
210,10/30/2019,Fall 2019,STAT150,Class,1,Session,Wednesday,55,52,,
211,10/30/2019,Fall 2019,ENGL134,Class,1,Session,Wednesday,55,39,,
212,10/31/2019,Fall 2019,MATH143,Class,1,Session,Thursday,55,47,,
213,10/31/2019,Fall 2019,TH210,Class,1,Session,Thursday,110,71,,
214,10/31/2019,Fall 2019,ENGL134,Class,1,Session,Thursday,29,23,,1
215,11/1/2019,Fall 2019,MATH143,Class,1,Session,Friday,55,0,1,
216,11/1/2019,Fall 2019,ENGL134,Class,1,Session,Friday,55,2,1,
217,11/3/2019,Fall 2019,TH210,Play,1,Plays,Attending one play: Loose Moose,180,114,,
218,11/9/2019,Fall 2019,TH210,Play,1,Plays,Attending one play: Lyssistrata,90,80,,
219,10/31/2019,Fall 2019,TH210,Quiz,1,Quiz,Lysistrata,10,10,,
228,11/4/2019,Fall 2019,TH210,Reading,96,Pages,,150,138,,
229,10/31/2019,Fall 2019,ENGL134,Writing Prep,1,Essay,Reviewing interview tape and finding key points,60,26,,
230,11/1/2019,Fall 2019,ENGL134,Reading,1,Profile,,20,41,,
231,11/14/2019,Fall 2019,MATH143,Homework,3,Sections,,80,0,1,
232,11/3/2019,Fall 2019,ENGL134,Writing,4,Pages,First Draft,500,225,,
233,11/3/2019,Fall 2019,STAT150,Labs,1,Labs,Tidy Tuesdays,25,17,,
234,11/9/2019,Fall 2019,STAT150,Labs,1,Labs,Lab 7 - tidy tuesday - trips,40,24,,
235,11/10/2019,Fall 2019,General,Help,1,Week,Helping others this week,60,16,,
236,11/8/2019,Fall 2019,TH210,Writing,500,Words,Play Review: Loose Moose,40,62,,
237,11/4/2019,Fall 2019,MATH143,Class,1,Session,Monday,55,51,,
238,11/4/2019,Fall 2019,ENGL134,Class,1,Session,Monday,55,52,,
239,11/5/2019,Fall 2019,MATH143,Class,1,Session,Tuesday,55,0,1,
240,11/5/2019,Fall 2019,TH210,Class,1,Session,Tuesday,110,91,,
